salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
1.0,16.0,7.0,2.0,6.0,19.0,unhealthy
1.05,16.0,8.0,2.0,6.0,17.0,unhealthy
0.95,22.0,5.0,2.0,4.0,16.0,unhealthy
2.8325,33.33,30.0,0.0,0.0,4.0,unhealthy
0.9825,17.86,8.93,7.1,21.43,1.0,moderate
0.045,57.14,0.0,0.0,0.0,3.0,unhealthy
1.965,7.14,7.14,7.1,17.86,7.0,unhealthy
0.02,8.2,0.0,1.6,0.82,1.0,healthy
0.02,9.6,0.0,1.6,0.0,0.0,moderate
0.02,14.62,0.0,1.5,0.0,0.0,moderate
0.02,9.6,0.0,1.6,0.0,0.0,moderate
0.02,14.62,0.0,1.5,0.0,0.0,moderate
1.6425,2.99,3.36,1.5,8.96,12.0,unhealthy
1.7025,2.78,3.47,2.1,9.03,15.0,unhealthy
0.655,2.92,0.0,0.8,0.83,1.0,healthy
1.505,3.76,3.01,1.5,9.02,7.0,unhealthy
2.0,36.67,6.67,0.0,0.0,2.0,unhealthy
0.895,0.42,0.0,0.0,0.42,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0675,3.57,1.79,1.8,14.29,0.0,moderate
0.06858,3.57,1.79,1.8,14.29,0.0,moderate
0.0675,3.57,1.79,1.8,14.29,0.0,moderate
0.0675,3.57,1.79,1.8,14.29,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.09,3.57,0.0,1.8,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
0.0,3.57,0.0,3.6,12.5,0.0,moderate
1.895,6.06,0.0,3.0,0.0,0.0,healthy
1.895,6.06,0.0,3.0,0.0,0.0,healthy
1.895,6.06,0.0,3.0,0.0,0.0,healthy
1.875,6.25,0.0,0.0,0.0,1.0,moderate
1.55,2.0,6.0,2.0,8.0,5.0,unhealthy
1.735,6.12,3.06,2.0,10.2,10.0,unhealthy
0.9175,46.67,6.67,3.3,3.33,3.0,unhealthy
1.4175,30.0,11.67,3.3,6.67,7.0,unhealthy
0.6775,56.25,16.67,4.2,4.17,8.0,unhealthy
0.5,50.0,20.0,3.3,3.33,5.0,unhealthy
0.5825,46.67,20.0,3.3,6.67,5.0,unhealthy
1.25,47.37,6.58,2.6,2.63,6.0,unhealthy
0.25,73.33,23.33,0.0,0.0,4.0,unhealthy
